Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,Bill Korum's Puyallup Nissan,101 Valley Ave NW,,Puyallup,WA,98371,,253-848-4507,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,47.207367,-122.294997,2022-02-10,39789,2022-02-10 19:42:29 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Younker Nissan,3401 E Valley Rd,,Renton,WA,98058,,,E,,Public,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,GPS,47.448354,-122.2188,2022-03-07,39791,2022-03-07 19:49:53 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Wendle Nissan,9000 N Division St,,Spokane,WA,99218,,509-468-9000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,47.739021,-117.409937,2020-06-09,39795,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Dave Smith Nissan - Spokane,6901 E Sprague Ave,,Spokane Valley,WA,99212,,509-924-6242,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-9,47.657264,-117.312518,2022-02-10,39796,2022-02-10 19:42:29 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Tacoma Nissan,4030 S Tacoma Way,,Tacoma,WA,98409,,253-473-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,47.21978,-122.48576,2022-02-10,39797,2022-02-10 19:42:29 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,,Vancouver,WA,98662,,360-892-9004,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,45.648094,-122.597954,2022-02-10,39798,2022-02-10 19:42:29 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,O'Brien Nissan,1395 Dalles Military Rd,,Walla Walla,WA,99362,,509-529-7000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,46.047464,-118.353406,2020-06-09,39799,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,KEY CENTER KEY CENTER 6,601 108th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616104,-122.19696,2022-09-25,40383,2022-09-25 01:08:17 UTC,,,,2011-05-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,CITY OF SEATAC CITY HALL 1,4800 S 188th St,,SeaTac,WA,98188,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.434021,-122.273183,2022-09-25,41776,2022-09-25 00:54:38 UTC,,,,2011-12-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,BELLEVUE SBCC #2,14509 SE Newport Way,,Bellevue,WA,98006,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.568871,-122.145285,2022-09-25,42228,2022-09-25 01:09:03 UTC,,,,2011-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,SAMMAMISH GARAGE 1,801 228th Ave SE,,Sammamish,WA,98075,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.601657,-122.036938,2022-09-25,42240,2022-09-25 00:55:22 UTC,,,,2011-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,IBEW LOCAL 46 IBEW LOCAL 46 1,19802 62nd Ave S,,Kent,WA,98032,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.424222,-122.256619,2022-09-25,43299,2022-09-25 00:56:22 UTC,,,,2012-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,VALLEY MED CTR MAIN LOT #5,400 S 43rd St,,Renton,WA,98055,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.443255,-122.212445,2022-09-25,43303,2022-09-25 00:43:34 UTC,,,,2012-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,City of Renton - City Hall,1055 S Grady Way,,Renton,WA,98057,,425-430-6600,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,200-9,47.474537,-122.204976,2022-01-10,43796,2022-02-10 19:42:29 UTC,LG,,,2017-01-12,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False
ELEC,TAC PW PARKING A ST GARAGE 01,110 S 10th St,,Tacoma,WA,98402,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.253809,-122.437429,2022-09-25,43804,2022-09-25 00:56:47 UTC,,,,2012-01-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,TAC PW PARKING GLASS MUSEUM 01,1801 Dock St,,Tacoma,WA,98402,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.245934,-122.43398,2022-09-25,43806,2022-09-25 00:56:47 UTC,,,,2012-01-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,City of Seattle - Central Library,1000 4th Ave,,Seattle,WA,98104,,206-386-4636,E,,Public,24 hours daily,,,,,,3.0,,,Non-Networked,,200-9,47.606684,-122.332664,2021-01-14,44153,2021-11-12 20:10:09 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,$2 per session,,,,,,,,,,False
ELEC,City of Seattle - Seattle Center,516 Harrison St,Located in the 5th Ave Garage,Seattle,WA,98109,,206-684-7200,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,9.0,,,Non-Networked,,200-8,47.622085,-122.347124,2021-01-14,44159,2021-11-12 20:10:09 UTC,LG,,,2011-12-01,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,,,$2 per session,,,,,,,,,,False
ELEC,Valley Nissan,1010 S 1st St,,Yakima,WA,98901,,509-453-3125,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,46.590246,-120.500687,2020-06-09,44509,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,,Monroe,WA,98272,,425-388-6619,E,,Public,8am-5pm M-F,,,,,,2.0,,,Non-Networked,,200-9,47.868914,-121.987449,2021-11-04,45209,2022-05-19 02:21:58 UTC,LG,,,2012-01-20,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False
ELEC,PeaceHealth,1115 SE 164th Ave,,Vancouver,WA,98684,,,E,,Public,Employee and guest use only; non-employee use after hours,,,,,,2.0,,,Non-Networked,,GPS,45.63017,-122.504,2021-12-09,47885,2022-02-10 19:42:29 UTC,P,,,2012-05-31,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,True
ELEC,KING COUNTY DOT KSC STATION #1,201 S Jackson St,,Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.598663,-122.331009,2022-09-25,49230,2022-09-25 00:51:47 UTC,,,,2012-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,SKAGIT COUNTY ADMIN STATION 2,1800 Continental Pl,,Mount Vernon,WA,98273,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,48.437569,-122.325494,2022-09-25,50210,2022-09-25 00:43:25 UTC,,,,2012-11-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Nikola Broadband,224 W Washington St,,Sequim,WA,98382,,360-582-1051,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-9,48.079908,-123.105772,2021-12-09,51905,2022-02-10 19:42:29 UTC,P,,,2013-05-15,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,False
ELEC,Mazama Country Inn,15 Country Rd,,Mazama,WA,98833,,800-843-7951,E,,Public - Call ahead,24 hours daily; for guest use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2.0,1.0,,,Non-Networked,,200-9,48.594482,-120.406494,2021-12-09,53702,2022-02-10 21:00:18 UTC,P,,,2013-11-01,,,,,J1772 NEMA1450,US,,,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,,,,,,,,,,True
ELEC,VIA6 VIA6-SOUTH,2121 6th Ave,,Seattle,WA,98121,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.613883,-122.339405,2022-09-25,55995,2022-09-25 01:02:33 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Campbell's Lake Chelan Resort,104 W Woodin Ave,,Chelan,WA,98816,,800-553-8225,E,,Public,24 hours daily; for guest use only,,,,,,1.0,,,Non-Networked,,200-9,47.8399,-120.0199,2021-12-09,60003,2022-02-10 21:00:18 UTC,P,,,2013-10-04,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,True
ELEC,Pine Near RV Park,316 Castle Ave,,Winthrop,WA,98862,,509-341-4062,E,,Public,24 hours daily; donations accepted,,,,,,1.0,,,Non-Networked,,200-8,48.476543,-120.180796,2021-12-09,60004,2022-02-10 19:42:29 UTC,P,,,2013-09-23,,,,,J1772,US,,,,Public,,public,,,RV_PARK,,,,,,,Free,,,,,,,,,,False
ELEC,Omak Inn,912 Koala Dr,,Omak,WA,98841,,800-204-4800  509-826-3822,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,48.421424,-119.503978,2021-12-09,60005,2022-02-10 19:42:29 UTC,P,,,2013-10-04,,,,,J1772,US,,,,Public,,public,,,INN,,,,,,,Free,,,,,,,,,,False
ELEC,59er Diner,15361 US 2,,Leavenworth,WA,98826,,509-763-2267,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-9,47.758434,-120.742416,2021-12-09,60006,2022-02-10 19:42:29 UTC,P,,,2014-01-15,,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,False
ELEC,Howard's Lakeshore Inn,233 Lakeshore Dr,,Pateros,WA,98846,,877-923-9555,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,48.051825,-119.901506,2021-12-09,60007,2022-02-10 19:42:29 UTC,P,,,2013-12-28,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,False
ELEC,Birkenstock,17506 NE Delfel Ct,Exit I-5 at 179th St,Ridgefield,WA,98642,,360-574-4332,E,,Public - Call ahead,Store business hours; free with purchase,,,,,,1.0,,,Non-Networked,,GPS,45.748069,-122.662816,2021-01-14,60229,2021-03-11 23:22:17 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,PARKING_LOT,,,,,,,Free,,,,,,,,,,False
ELEC,VALLEY MED CTR MAIN LOT #8,4109-4251 Talbot Rd S,,Renton,WA,98055,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.443123,-122.212538,2022-09-25,60331,2022-09-25 00:43:11 UTC,,,,2014-02-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Haselwood Chevrolet Buick GMC,501 W Hills Blvd,,Bremerton,WA,98312,,360-479-4910,E,,Public,Dealership business hours; for Chevrolet vehicles only,,,,,,2.0,,,Non-Networked,,200-9,47.557801,-122.675335,2021-12-09,60718,2022-04-28 20:01:31 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,True
ELEC,Lakeside 24 Hour Fuel,16835 Lewis River Rd,,Cougar,WA,98616,,360-238-5202,E,,Public,6am-9pm daily (summer); 6am-6pm daily (winter),,,,,,1.0,,,Non-Networked,,200-9,46.051228,-122.301754,2021-12-09,60814,2022-02-10 19:42:29 UTC,P,,,2014-03-06,,,,,J1772,US,,,,Public,,public,,,GAS_STATION,,,,,,,$12 per session,,,,,,,,,,False
ELEC,Kitsap Transit WA Harborside Parking Garage,60 Washington Ave,,Bremerton,WA,98337,,855-885-9571,E,,Public,,,,,,,4.0,,,OpConnect,http://www.opconnect.com/,GPS,47.563581,-122.625317,2022-09-25,61877,2022-09-25 02:05:11 UTC,,,,2013-12-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Semiahmoo Resort,9565 Semiahmoo Pkwy,Located by the tennis courts,Blaine,WA,98230,,360-318-2000,E,,Public,24 hours daily; for guest use only,,,,,,1.0,,,Non-Networked,,GPS,48.989751,-122.773271,2021-11-04,62286,2022-04-28 20:01:31 UTC,P,,,2014-04-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,True
ELEC,Pybus Public Market,7 N Worthen St,,Wenatchee,WA,98801,,509-888-3900,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,200-9,47.425375,-120.307608,2021-12-09,62516,2022-02-10 19:42:29 UTC,P,,,2014-07-07,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,False
ELEC,Best Western Plus - Heritage Inn,151 E McLeod Rd,Located at Telegraph Road and East McLeod Road,Bellingham,WA,98226,,360-647-1912,E,,Public,24 hours daily; for guest use only,,,,,,1.0,,,Non-Networked,,GPS,48.783478,-122.484131,2020-07-13,62692,2022-06-30 22:10:16 UTC,P,,,2014-03-21,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,True
ELEC,UDR TEN20 #1,10710 Northeast 10th Street,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.61984,-122.19603,2022-09-25,62728,2022-09-25 00:44:06 UTC,,,,2014-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,AMLI SLU AMLI SLU #1,1250-1282 Republican St,,Seattle,WA,98109,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.62313,-122.331442,2022-09-25,62796,2022-09-25 00:43:46 UTC,,,,2014-08-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,City of Chelan,137 E Johnson Ave,Located behind City Hall,Chelan,WA,98816,,509-682-8019,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,200-8,47.840838,-120.018402,2021-12-09,62973,2022-02-10 19:42:29 UTC,LG,,,2014-08-18,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False
ELEC,UWMC UWMC #1,3100 Northup Way,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.638269,-122.191294,2022-09-25,63110,2022-09-25 00:43:52 UTC,,,,2014-08-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,UWMC 4225 UWMC 4225 #1,4225 Roosevelt Way NE,,Seattle,WA,98105,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.658409,-122.318392,2022-09-25,63338,2022-09-25 00:44:30 UTC,,,,2014-09-19,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Town Nissan,555 3rd St SE,,East Wenatchee,WA,98802,,509-662-5125,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,47.400783,-120.279071,2022-02-10,63444,2022-02-10 19:42:29 UTC,P,,,2010-12-17,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,MAIN HOSPITAL SILVER PARKING,11300-11398 128th Ave NE,,Kirkland,WA,98034,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.716056,-122.179455,2022-09-25,63780,2022-09-25 00:44:22 UTC,,,,2014-10-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,MAIN HOSPITAL DEYOUNG1,12039 NE 128th St,,Kirkland,WA,98034,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.714435,-122.179399,2022-09-25,63781,2022-09-25 00:44:22 UTC,,,,2014-10-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,MAIN HOSPITAL BLUE PARKING,12040 NE 128th St,,Kirkland,WA,98034,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.714793,-122.176869,2022-09-25,63782,2022-09-25 00:44:22 UTC,,,,2014-10-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Leskovar Mitsubishi,3020 W Clearwater Ave,Located by the sales and service departments,Kennewick,WA,99336,,509-783-6141,E,,Public - Call ahead,Dealership business hours; for customer use only,,,,,,2.0,,,Non-Networked,,200-9,46.213233,-119.162367,2021-11-04,64135,2022-04-28 20:01:31 UTC,P,,,2014-03-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,True
