,Longitude,Latitude,name,Coord,County,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Total Crime
29,-122.3629663,47.7910271975452,76,"47.7910271975452,-122.3629663",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
30,-120.303316,47.4111952975452,76,"47.4111952975452,-120.303316",Chelan,34513.0,62.0,1.0,16.0,10.0,35.0,638.0,66.0,532.0,40.0,1.0,1401.0
31,-120.8052204,45.8260948975452,76,"45.8260948975452,-120.8052204",Klickitat,6903.0,10.0,0.0,1.0,1.0,8.0,173.0,31.0,124.0,18.0,1.0,367.0
32,-122.8791994,46.5475775975452,76,"46.5475775975452,-122.8791994",Lewis,27442.0,83.0,1.0,17.0,20.0,45.0,1072.0,150.0,856.0,66.0,1.0,2311.0
33,-122.8853267,46.5844371975452,76,"46.5844371975452,-122.8853267",Lewis,27442.0,83.0,1.0,17.0,20.0,45.0,1072.0,150.0,856.0,66.0,1.0,2311.0
34,-122.3009198,46.8879567975452,76,"46.8879567975452,-122.3009198",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
35,-120.2888516,47.4055262975452,76,"47.4055262975452,-120.2888516",Douglas,14293.0,8.0,1.0,0.0,1.0,6.0,192.0,13.0,171.0,8.0,1.0,401.0
36,-120.2276378,47.6255786975452,76,"47.6255786975452,-120.2276378",Douglas,14293.0,8.0,1.0,0.0,1.0,6.0,192.0,13.0,171.0,8.0,1.0,401.0
37,-121.9776053,47.8615956975452,76,"47.8615956975452,-121.9776053",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
38,-122.2938197,47.1180105975452,76,"47.1180105975452,-122.2938197",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
39,-122.039416,47.1585153975452,76,"47.1585153975452,-122.039416",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
40,-122.1848508,47.1774151975452,76,"47.1774151975452,-122.1848508",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
41,-122.258855,47.1453002975452,76,"47.1453002975452,-122.258855",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
42,-122.4841219,47.1638282975452,76,"47.1638282975452,-122.4841219",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
43,-122.3565415,47.2433837975452,76,"47.2433837975452,-122.3565415",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
44,-122.4153676,47.2419124975452,76,"47.2419124975452,-122.4153676",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
45,-122.6257477,47.0938385975452,76,"47.0938385975452,-122.6257477",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
46,-122.5255984,47.1385048975452,76,"47.1385048975452,-122.5255984",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
47,-122.1555212,47.2752862975452,76,"47.2752862975452,-122.1555212",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
48,-122.1658606,47.3872546975452,76,"47.3872546975452,-122.1658606",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
49,-122.1017014,47.4624242975452,76,"47.4624242975452,-122.1017014",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
50,-122.2043609,47.4624782975452,76,"47.4624782975452,-122.2043609",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
51,-122.2535219,47.4693727975452,76,"47.4693727975452,-122.2535219",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
52,-122.5164306,47.2714384975452,76,"47.2714384975452,-122.5164306",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
53,-122.5780979,47.3087103975452,76,"47.3087103975452,-122.5780979",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
54,-122.5880995,47.3227836975452,76,"47.3227836975452,-122.5880995",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
55,-123.0207959,47.0794798975452,76,"47.0794798975452,-123.0207959",Thurston,140883.0,467.0,2.0,70.0,110.0,285.0,4356.0,563.0,3373.0,420.0,17.0,9663.0
56,-123.0940068,47.1425696975452,76,"47.1425696975452,-123.0940068",Mason,10432.0,53.0,0.0,20.0,5.0,28.0,583.0,66.0,485.0,32.0,1.0,1273.0
57,-122.1370505,47.5776842975452,76,"47.5776842975452,-122.1370505",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
58,-122.2758751,47.5462426975452,76,"47.5462426975452,-122.2758751",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
59,-122.3322502,47.7084322975452,76,"47.7084322975452,-122.3322502",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
60,-122.3451868,47.7490672975452,76,"47.7490672975452,-122.3451868",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
61,-122.6265391,47.5416129975452,76,"47.5416129975452,-122.6265391",Kitsap,92593.0,263.0,1.0,42.0,53.0,167.0,2341.0,398.0,1735.0,208.0,6.0,5214.0
62,-122.0116555,47.8490120975452,76,"47.8490120975452,-122.0116555",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
63,-122.118836,47.8472637975452,76,"47.8472637975452,-122.118836",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
64,-122.3646583,47.7648821975452,76,"47.7648821975452,-122.3646583",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
65,-122.03764,47.9859769975452,76,"47.9859769975452,-122.03764",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
66,-122.186268,48.0525207975452,76,"48.0525207975452,-122.186268",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
67,-122.3653418,48.4302542975452,76,"48.4302542975452,-122.3653418",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0
68,-122.2218235,47.3230588975452,76',"47.3230588975452,-122.2218235",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
69,-122.449191,48.9442170975452,76 Gas Station,"48.9442170975452,-122.449191",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
70,-122.2926599,47.1626200975452,7-Eleven,"47.1626200975452,-122.2926599",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
71,-122.2804117,47.8827630975452,7-Eleven,"47.8827630975452,-122.2804117",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
72,-122.3007033,47.9218347975452,7-Eleven,"47.9218347975452,-122.3007033",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
73,-122.800855,47.0374532975452,7-Eleven,"47.0374532975452,-122.800855",Thurston,140883.0,467.0,2.0,70.0,110.0,285.0,4356.0,563.0,3373.0,420.0,17.0,9663.0
74,-122.4775168,47.2554532975452,7-Eleven,"47.2554532975452,-122.4775168",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
75,-122.075005,47.5799156975452,7-Eleven,"47.5799156975452,-122.075005",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
76,-122.1540725,47.6312503975452,7-Eleven,"47.6312503975452,-122.1540725",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
77,-122.3280501,47.6648265975452,7-Eleven,"47.6648265975452,-122.3280501",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
78,-122.2274112,47.9221907975452,7-Eleven,"47.9221907975452,-122.2274112",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
79,-119.2793752,46.2940790975452,7-Eleven,"46.2940790975452,-119.2793752",Benton,164317.0,375.0,4.0,83.0,61.0,227.0,3913.0,634.0,3008.0,271.0,26.0,8602.0
80,-119.2733006,46.3186836975452,7-Eleven,"46.3186836975452,-119.2733006",Benton,164317.0,375.0,4.0,83.0,61.0,227.0,3913.0,634.0,3008.0,271.0,26.0,8602.0
81,-120.5485852,46.9993060975452,7-Eleven,"46.9993060975452,-120.5485852",Kittitas,24313.0,50.0,0.0,12.0,6.0,32.0,729.0,96.0,602.0,31.0,3.0,1561.0
82,-123.8413082,46.9749480975452,7-Eleven,"46.9749480975452,-123.8413082",Grays Harbor,23430.0,83.0,1.0,26.0,15.0,41.0,790.0,143.0,603.0,44.0,6.0,1752.0
83,-120.5332538,47.0022181975452,7-Eleven,"47.0022181975452,-120.5332538",Kittitas,24313.0,50.0,0.0,12.0,6.0,32.0,729.0,96.0,602.0,31.0,3.0,1561.0
84,-122.4724303,47.2144543975452,7-Eleven,"47.2144543975452,-122.4724303",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
85,-122.4659711,47.2423775975452,7-Eleven,"47.2423775975452,-122.4659711",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
86,-122.6091848,47.5189860975452,7-Eleven,"47.5189860975452,-122.6091848",Kitsap,92593.0,263.0,1.0,42.0,53.0,167.0,2341.0,398.0,1735.0,208.0,6.0,5214.0
87,-122.6145022,48.5127994975452,7-Eleven,"48.5127994975452,-122.6145022",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0
88,-122.2037452,48.7157781975452,Acme General Store,"48.7157781975452,-122.2037452",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
89,-122.9177646,46.9688920975452,Airport Fuel Farm,"46.9688920975452,-122.9177646",Thurston,140883.0,467.0,2.0,70.0,110.0,285.0,4356.0,563.0,3373.0,420.0,17.0,9663.0
90,-122.4332768,47.1187781975452,Albertsons Gas,"47.1187781975452,-122.4332768",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
91,-119.979314,46.3089197975452,Ameristar,"46.3089197975452,-119.979314",Yakima,149495.0,531.0,11.0,58.0,123.0,339.0,4736.0,694.0,3289.0,753.0,17.0,10551.0
92,-122.6996591,47.1650774975452,Anderson Island Gas Station,"47.1650774975452,-122.6996591",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
93,-122.3362076,47.4599067975452,Andy's,"47.4599067975452,-122.3362076",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
94,-122.2982662,47.8206265975452,Arco,"47.8206265975452,-122.2982662",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
95,-122.9745094,46.7262007975452,Arco,"46.7262007975452,-122.9745094",Lewis,27442.0,83.0,1.0,17.0,20.0,45.0,1072.0,150.0,856.0,66.0,1.0,2311.0
96,-122.2934345,47.1508715975452,Arco,"47.1508715975452,-122.2934345",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
97,-123.8245127,46.9693500975452,Arco,"46.9693500975452,-123.8245127",Grays Harbor,23430.0,83.0,1.0,26.0,15.0,41.0,790.0,143.0,603.0,44.0,6.0,1752.0
98,-120.5213968,46.6647384975452,Arco,"46.6647384975452,-120.5213968",Yakima,149495.0,531.0,11.0,58.0,123.0,339.0,4736.0,694.0,3289.0,753.0,17.0,10551.0
99,-122.3559758,47.0960426975452,Arco,"47.0960426975452,-122.3559758",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
100,-122.285691,47.8900744975452,Arco,"47.8900744975452,-122.285691",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
101,-122.1434772,47.6823549975452,Arco,"47.6823549975452,-122.1434772",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
102,-122.7222738,47.0656862975452,Arco,"47.0656862975452,-122.7222738",Thurston,140883.0,467.0,2.0,70.0,110.0,285.0,4356.0,563.0,3373.0,420.0,17.0,9663.0
103,-122.5531658,45.7091239975452,Arco,"45.7091239975452,-122.5531658",Clark,259381.0,953.0,5.0,230.0,198.0,520.0,7013.0,1032.0,5117.0,864.0,43.0,15975.0
104,-120.5098608,46.5709654975452,Arco,"46.5709654975452,-120.5098608",Yakima,149495.0,531.0,11.0,58.0,123.0,339.0,4736.0,694.0,3289.0,753.0,17.0,10551.0
105,-122.2113097,47.9635064975452,Arco,"47.9635064975452,-122.2113097",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
106,-122.1754757,47.7043385975452,ARCO,"47.7043385975452,-122.1754757",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
107,-122.3104218,47.7341621975452,ARCO,"47.7341621975452,-122.3104218",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
108,-121.776283,47.8685492975452,ARCO,"47.8685492975452,-121.776283",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
109,-119.9780366,46.3092032975452,ARCO,"46.3092032975452,-119.9780366",Yakima,149495.0,531.0,11.0,58.0,123.0,339.0,4736.0,694.0,3289.0,753.0,17.0,10551.0
110,-122.2942348,47.0526876975452,ARCO,"47.0526876975452,-122.2942348",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
111,-120.7074431,46.7300653975452,ARCO,"46.7300653975452,-120.7074431",Yakima,149495.0,531.0,11.0,58.0,123.0,339.0,4736.0,694.0,3289.0,753.0,17.0,10551.0
112,-121.8883743,47.5671349975452,ARCO,"47.5671349975452,-121.8883743",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
113,-122.1537127,47.4485215975452,ARCO,"47.4485215975452,-122.1537127",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
114,-122.3487698,47.4813655975452,ARCO,"47.4813655975452,-122.3487698",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
115,-122.2928594,47.1117490975452,ARCO,"47.1117490975452,-122.2928594",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
116,-122.9568898,46.6471458975452,ARCO,"46.6471458975452,-122.9568898",Lewis,27442.0,83.0,1.0,17.0,20.0,45.0,1072.0,150.0,856.0,66.0,1.0,2311.0
117,-122.4777528,48.7142780975452,ARCO,"48.7142780975452,-122.4777528",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
118,-122.4855668,48.7948362975452,ARCO,"48.7948362975452,-122.4855668",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
119,-122.4859331,48.9406947975452,ARCO,"48.9406947975452,-122.4859331",Whatcom,112979.0,267.0,4.0,33.0,63.0,167.0,3000.0,356.0,2525.0,119.0,8.0,6542.0
120,-122.210435,47.7659670975452,ARCO,"47.7659670975452,-122.210435",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
121,-122.4337542,47.1813362975452,ARCO,"47.1813362975452,-122.4337542",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
122,-122.1658442,47.3583163975452,ARCO,"47.3583163975452,-122.1658442",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
123,-123.0126769,46.8019079975452,ARCO,"46.8019079975452,-123.0126769",Thurston,140883.0,467.0,2.0,70.0,110.0,285.0,4356.0,563.0,3373.0,420.0,17.0,9663.0
124,-122.152847,47.1677094975452,ARCO,"47.1677094975452,-122.152847",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
125,-122.1872514,47.1777592975452,ARCO,"47.1777592975452,-122.1872514",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
126,-122.2437794,47.2034920975452,ARCO,"47.2034920975452,-122.2437794",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
127,-122.4841115,47.1662399975452,ARCO,"47.1662399975452,-122.4841115",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
128,-122.1929283,47.2886904975452,ARCO,"47.2886904975452,-122.1929283",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
129,-122.0359822,47.5384558975452,ARCO,"47.5384558975452,-122.0359822",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
130,-122.0596399,47.5515933975452,ARCO,"47.5515933975452,-122.0596399",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
131,-122.1675135,47.6277945975452,ARCO,"47.6277945975452,-122.1675135",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
132,-122.1661679,47.7539873975452,ARCO,"47.7539873975452,-122.1661679",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
133,-122.2064099,47.8784911975452,ARCO,"47.8784911975452,-122.2064099",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
134,-120.6619848,47.0537515975452,ARCO,"47.0537515975452,-120.6619848",Kittitas,24313.0,50.0,0.0,12.0,6.0,32.0,729.0,96.0,602.0,31.0,3.0,1561.0
135,-120.1798671,46.3447958975452,ARCO,"46.3447958975452,-120.1798671",Yakima,149495.0,531.0,11.0,58.0,123.0,339.0,4736.0,694.0,3289.0,753.0,17.0,10551.0
136,-120.4756524,46.5627193975452,ARCO,"46.5627193975452,-120.4756524",Yakima,149495.0,531.0,11.0,58.0,123.0,339.0,4736.0,694.0,3289.0,753.0,17.0,10551.0
137,-122.5891944,46.9328874975452,ARCO,"46.9328874975452,-122.5891944",Thurston,140883.0,467.0,2.0,70.0,110.0,285.0,4356.0,563.0,3373.0,420.0,17.0,9663.0
138,-122.4627113,47.2505376975452,ARCO,"47.2505376975452,-122.4627113",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0
139,-122.1864208,47.3866326975452,ARCO,"47.3866326975452,-122.1864208",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0
140,-122.6767302,47.6539171975452,ARCO,"47.6539171975452,-122.6767302",Kitsap,92593.0,263.0,1.0,42.0,53.0,167.0,2341.0,398.0,1735.0,208.0,6.0,5214.0
141,-122.2242794,47.9255185975452,ARCO,"47.9255185975452,-122.2242794",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
142,-122.2015591,47.9934160975452,ARCO,"47.9934160975452,-122.2015591",Snohomish,427282.0,940.0,9.0,141.0,219.0,571.0,11159.0,1446.0,8125.0,1588.0,35.0,24233.0
143,-119.0393259,46.9708002975452,Astro,"46.9708002975452,-119.0393259",Grant,22162.0,44.0,0.0,10.0,4.0,30.0,680.0,186.0,421.0,73.0,2.0,1450.0
