X,Y,amenity,building,name,addr:street,addr:housenumber,brand,addr:postcode,addr:city,website,operator,fuel:diesel,addr:state,brand:wikidata,brand:wikipedia,opening_hours,designation,phone,shop,fuel:octane_87,fuel:octane_92,layer,addr:country,fuel:octane_89,fuel:octane_91,is_in,building:levels,access,name:en,membership,fuel:e10,fuel:biodiesel
-118.22519802737,48.9978044996938,fuel,commercial,US Eh Gas Convenience Store,US-395,27007,,99146,Laurier,,,,,,,,,+1-509-684-3661,,,,,,,,,,,,,,
-117.6350943,48.9916913,fuel,commercial,Waneta Quick Stop,Deep Lake Boundary Rd,4155,,99114,Northport,,,,,,,,,+1-509-732-4306,convenience,,,,,,,,,,,,,
-122.208520882689,47.7639462998912,fuel,commercial,,Bothell Way Northeast,18725,Chevron,98011,Bothell,,,,,,,,,,,,,,,,,,,,,,,
-120.184384890048,48.4775045006035,fuel,commercial,,Riverside Avenue,228,,98862,Winthrop,,Chevron,,WA,,,,,,,,,,,,,,,,,,,
-122.18550565,47.76852155,fuel,commercial,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,
-118.339981046746,46.068049874996,fuel,retail,Chevron,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
-122.540307575305,47.8101415496204,fuel,retail,Mobil,Northeast State Highway 104,8184,Mobil,98346,Kingston,,,,,,,24/7,,,,,,,US,,,,1,,,,,
-122.396922690181,47.9922503729612,fuel,retail,Naomi's Gas and Grocery (Mobil),,,Mobil,,,,Liberty Fuels,,,,,,,,,,,,,,,,,,,,,
-122.293498124962,47.1361672998898,fuel,retail,Safeway 2640 Fuel Station,Meridian East Ave,13308,Safeway,98373,,https://local.safeway.com/wa/puyallup-2640.html,Safeway,,,,,,Safeway 2640,,,,,,,,,,,,,,,
-119.11796115,46.241182,fuel,retail,USA Gasoline,,1440,,,,,,,,,,24/7,,,,,,,,,,,1,,,,,
-122.35341615031,47.5072948500098,fuel,retail,,15th Avenue Southwest,10612,,98146,Seattle,,,,WA,,,,,,,,,,,,,,,,,,,
-122.353366504867,47.5074136038996,fuel,retail,,15th Avenue Southwest,10612,,98146,Seattle,,,,WA,,,,,,,,,,,,,,,,,,,
-122.460732632078,47.445230608549,fuel,ROO,Chevron,Vashon Highway Southwest,17803,Chevron,98070,Vashon Island,,,,WA,Q319642,en:Chevron Corporation,,,,,,,,,,,,,,,,,
-123.011060064322,46.7931431994872,fuel,roof,24 Hour CFN - End of the Trail III,Old Highway 99 Southwest,20330,,98531,Centralia,,,,WA,,,24/7,,,,,,,,,,,,,,,,
-122.18620295,47.71180075,fuel,roof,76,116th Avenue Northeast,12412,76,98034,Kirkland,,,,,,,,,,,,,,,,,,,,,,,
-122.1767991,47.32225645,fuel,roof,76,124th Avenue Southeast,31207,,98092,Auburn,,,,WA,,,,,,,,,,,,,,,,,,,
-122.314444148873,47.5813182000168,fuel,roof,76,14th Avenue South,2414,76,98144,Seattle,,,,,,,,,,,,,1,,,,,,,,,,
-122.3040702,47.84634435,fuel,roof,76,168th Street Southwest,5208,,98037,Lynnwood,,,,WA,,,,,,,,,,,,,,,,,,,
-122.32820455,47.29820625,fuel,roof,76,1st Way South,33800,,98003,Federal Way,,,,,,,,,,,,,,,,,,,,,,,
-122.169720724954,47.5765612504591,fuel,roof,76,Factoria Boulevard Southeast,3727,,98006,Bellevue,https://www.76.com/,,,WA,,,,,,,,,1,,,,,,,,,,
-121.982045826014,47.199647550547,fuel,roof,76,Griffin Avenue,320,,98022,Enumclaw,,,,,,,,,,,,,,,,,,,,,,,
-122.045500383023,47.3920363556607,fuel,roof,76,Maple Valley Black Diamond Road Southeast,23324,,98038,Maple Valley,,,,,,,,,,,,,,,,,,,,,,,
-122.288059999493,47.4169993999908,fuel,roof,76,Military Road South,20619,,98198,SeaTac,,,,,,,24/7,,,,,,,,,,,,,,,,
-122.530339131825,45.6431219994551,fuel,roof,76,Northeast 28th Street,13808,,98682,Vancouver,,,,WA,,,,,,,,,,,,,,,,,,,
-122.1319186,47.61678965,fuel,roof,76,Northeast 8th Street,15615,,,,,United Pacific,,,,,,,,,,,,,,,,,,76,,,
-122.370963050333,47.5172659499953,fuel,roof,76,Southwest Roxbury Street,2851,,98126,Seattle,,,,,,,,,,,,,,,,,,,,,,,
-122.243610355284,47.4580802521229,fuel,roof,76,West Valley Highway,16200,,98188,Tukwila,,,,,,,,,,,,,,,,,,,,,,,
-122.3497221,47.6622945,fuel,roof,76,,,76,,,http://76.com/,,,,,,,,,,,,,,,,,,,,,,
-122.32859965,48.3986181,fuel,roof,76,,,76,,,,,,,,,,,,,,,1,,,,,,,,,,
-121.780108,47.4920312,fuel,roof,76,,,76,,,,,,,,,,,,,,,,,,,,,,,,,
-120.661288854391,47.5966236500765,fuel,roof,76,,,76,,,,,,,,,,,,,,,,,,,,,,,,,
-122.237626250326,47.7092281999928,fuel,roof,76,,,76,,,,,,,,,,,,,,,,,,,,,,,,,
-122.376536499839,47.6706826499984,fuel,roof,76,,,76,,,,,,,,,,,,,,,,,,,,,,,,,
-122.363704846021,47.8216867005057,fuel,roof,76,,,76,,,,,,,,,,,,,,,,,,,,,,,,,
-122.377131623846,47.6482869136922,fuel,roof,76,,,,,,https://www.76.com/,,,,,,,,,,,,,,,,,,,,,,
-119.0102266,47.93929075,fuel,roof,76,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,
-122.333573874937,47.4600771998432,fuel,roof,76,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.2306663,47.8816625,fuel,roof,76,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.542017862972,47.8093030945267,fuel,roof,76,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.24181667665,48.2375644000507,fuel,roof,76,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.199928118049,47.4446328502481,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,Texaco,,,
-122.5047845,45.6208118,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.564548574722,45.6212356507936,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.565482834231,45.6630600497785,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.6376725,45.66750335,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.324594744518,47.4363809611322,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8232962,47.5265451,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.35661051915,47.110571107288,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.357791251474,47.191458936548,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.50389035,47.14927535,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.518699555056,47.1867617826336,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.536458,47.21328105,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.213883051426,47.2942496499559,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0055614,47.31916265,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.31382205,47.3047757,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.271120398647,47.3431664000281,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.31262651428,47.3293138496354,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.324339726497,47.4034790491805,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.27096345,47.48472695,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.280417999892,47.5347898499977,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.392499334662,47.536421155932,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.227593703418,47.6352781048826,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.177002974907,47.7037087003728,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2081583,47.72344895,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.656340030458,47.5238615502461,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.628379230686,47.6072576338466,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.706989431777,47.6541201996778,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.236257958732,47.8491716501353,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.261320021704,47.7582334507487,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3358337,47.77797375,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.28230815,47.84986225,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.180975222343,48.0520301924108,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.126680975093,48.1915648006368,fuel,roof,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3121391,47.61507055,fuel,roof,7-Eleven,East Madison Street,1516,,98122,Seattle,,,,,,,,,,,,,,,,,,,,,,,
-122.354131245259,47.6719089001763,fuel,roof,7-Eleven,Phinney Avenue North,5900,,,Seattle,,,,,,,,,,,,,,,,,,,,,,,
-122.233459184962,47.4416486973765,fuel,roof,7-Eleven,Southwest 43rd Street,1200,,98057,Renton,,,,,,,24/7,,,,,,,,,,,,,,,,
-122.342690941126,47.6551810996676,fuel,roof,7-Eleven,,,7-Eleven,,,,,yes,,,,,,,,,,,,,,,,,,,,no
-122.293447264355,47.2498440506423,fuel,roof,7-Eleven,,,7-Eleven,,,,,,,Q259340,en:7-Eleven,24/7,,,,,,,,,,"Edgewood; Washington; USA",,,,,,
-122.504708149235,45.6148617999844,fuel,roof,7-Eleven,,,7-Eleven,,,,,,,Q259340,en:7-Eleven,,,,,yes,yes,,,yes,,,,,,,,
-122.646140945673,48.3039230519208,fuel,roof,7-Eleven,,,7-Eleven,,,,,,,Q259340,en:7-Eleven,,,,,,,,,,,,,,,,,
-122.335178125,47.3225549992795,fuel,roof,7-Eleven,,,Citgo,,,,7-Eleven,,,,,,,,,yes,,,,,yes,,,,,,yes,no
-122.651868146287,45.7148120997814,fuel,roof,7-Eleven,,,,,,,,yes,,,,,,,,yes,yes,,,,,,,,,,,
-122.2391682,47.88219505,fuel,roof,7-Eleven,,,,,,,,,,,,24/7,,,,,,1,,,,,,,,,,
-122.376488425669,47.5207080007534,fuel,roof,7-Eleven,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,
-122.1951877,47.7334055,fuel,roof,7-Eleven,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,
-122.296136124895,47.4224538993007,fuel,roof,7-Eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.387847075,47.6736151491088,fuel,roof,7-Eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.181986479858,48.0760818499264,fuel,roof,7-Eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.35770772617,47.1562219503795,fuel,roof,Albertsons Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.20202315,47.37288935,fuel,roof,Arco,104th Avenue Southeast,10406,Arco,98031,Kent,https://www.arco.com/,,,,Q304769,en:ARCO,24/7,,,,,,,,,,,,,,,,
-122.740314607433,45.9063672498895,fuel,roof,Arco,Lewis River Road,1039,,98674,Woodland,,,yes,WA,,,,,360-225-9565,,,,,,,,,,,,,,
-122.164438697088,47.6665906000266,fuel,roof,Arco,Northeast 70th Place,13055,Arco,98033,Kirkland,https://www.arco.com/,,,,Q304769,en:ARCO,,,,,,,1,,,,,,,,,,
-120.560631338558,46.6204561498454,fuel,roof,Arco,,,Arco,,,,,,,Q304769,en:ARCO,,,,,,,1,,,,,,,,,,
-122.894447698601,46.1450395000552,fuel,roof,Arco,,,Arco,,,,,,,Q304769,en:ARCO,,,,,,,,,,,,,,,,,
-122.25422025,47.8500569,fuel,roof,Arco,,,Arco,,,,,,,,,,,,,,,,,,,,,,,,,
-122.182408619785,48.1527329764834,fuel,roof,Arco,,,ARCO,,,,,,,,,,,,,,,,,,,,,,,,,
-122.242706750074,47.8823298500015,fuel,roof,Arco,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.646769287854,47.5671000465482,fuel,roof,Arco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.629427947629,47.6319242501247,fuel,roof,Arco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2938074,47.8474978,fuel,roof,Arco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.181756525019,48.0515910498069,fuel,roof,Arco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.62509745,45.679076,fuel,roof,ARCO,Northeast Saint Johns Road,7801,,98665,Vancouver,,,yes,WA,,,24/7,,,,yes,yes,,,,,,,,,,,
-122.50172687112,47.8016051879945,fuel,roof,ARCO,Northeast State Highway 104,10947,,98346,Kingston,https://www.arco.com/,,yes,,,,24/7,,,,,,1,US,,yes,,,,,,,
-121.982079123932,47.1991650996869,fuel,roof,ARCO,,,Arco,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.659834846708,47.7040429000485,fuel,roof,ARCO,,,Arco,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.00700765,47.8727933,fuel,roof,ARCO,,,Arco,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.156966646666,47.5059972998307,fuel,roof,ARCO,,,Arco,,,,,,,,,,,,,,,,,,,,,,,,,
-122.328750124562,47.5837487952203,fuel,roof,ARCO,,,ARCO,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.485860191148,48.9406380568375,fuel,roof,ARCO,,,ARCO,,,,,,,,,,,,,,,,,,,,,,,,,
-122.8734565,46.54695405,fuel,roof,ARCO,,,,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.209606058433,47.472954599863,fuel,roof,ARCO,,,,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.288277181878,47.4655412997881,fuel,roof,ARCO,,,,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.287914119084,47.5516307506915,fuel,roof,ARCO,,,,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.3824587,47.6486891,fuel,roof,ARCO,,,,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.313749726842,48.4358631949031,fuel,roof,ARCO,,,,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-122.3447994,47.69080995,fuel,roof,ARCO,,,,,,,Arco,,,,,,,,,,,,,,,,,,,,,
-123.437059128399,48.1118699997372,fuel,roof,ARCO,,,,,,,ARCO,,,,,,,,,,,1,,,,,,,,,,
-122.66725095,45.6496064,fuel,roof,ARCO,,,,,,,,yes,,,,,,,,yes,yes,,,yes,,,,,,,,
-122.36152015,47.5374603,fuel,roof,ARCO,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,
-122.65280965,45.7173087,fuel,roof,ARCO,,,,,,,,,,,,,,,,yes,yes,,,yes,,,,,,,,
-122.271304757682,47.8362166998644,fuel,roof,ARCO,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.18488925,47.6170727999837,fuel,roof,ARCO,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,
-122.5048634,45.6215361,fuel,roof,ARCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.664776550009,45.6925975000392,fuel,roof,ARCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.504801998507,47.2068323999171,fuel,roof,ARCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.30305755,47.60762945,fuel,roof,ARCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.182652198484,48.0516261501229,fuel,roof,ARCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.342324279576,48.4345808004485,fuel,roof,ARP,,,ARP,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.62463185,45.68639795,fuel,roof,Astro,,,,,,,,yes,,,,,,,,yes,yes,,,yes,,,,,,,,
-122.7448597,45.9083024,fuel,roof,Astro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0954811,47.3124829,fuel,roof,Brookside Dispensers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-124.281443653183,48.0700961501065,fuel,roof,Burnt Mountain Store,US 101 (WA),203841,,98305,,,,,,,,24/7,,,,,,,,,,,1,,,,,
-117.443571713167,47.6824290498281,fuel,roof,Cenex,,,Cenex,,,,,yes,,,,,,,,,,,,,,,,,,,,
-119.28776885301,47.6169049502945,fuel,roof,Cenex,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,
-122.314432100032,47.3047331499992,fuel,roof,CFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.537299832308,47.2428683020731,fuel,roof,Checker's Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.938939220965,46.159168050769,fuel,roof,Cheveron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.374791801983,47.69478430176,fuel,roof,Chevron,14th Avenue Northwest,9015,,98117,Seattle,,,,,,,,,,,,,,,,,,,,,,,
-122.303204009435,47.8468587998688,fuel,roof,Chevron,168th Street Southwest,5127,,98037,Lynnwood,,,,WA,,,,,,,,,,,,,,,,,,,
-122.290186775497,47.6815162495861,fuel,roof,Chevron,35th Avenue Northeast,7300,Chevron,98115,Seattle,,,,,,,,,,,,,,,,,,,,,,,
-122.669698399379,45.6322087500111,fuel,roof,Chevron,East Mill Plain Boulevard,210,Chevron,98660,Vancouver,https://www.chevronwithtechron.com/,,,WA,,,,,,,,,,,,,,,,,,,
-122.207427022433,47.2456902720863,fuel,roof,Chevron,Lake Tapps Pkwy E,1692,Chevron,98092,Auburn,,,,WA,Q319642,en:Chevron Corporation,,,,,,,,,,,,,,,,,
-122.283747751931,47.5429497529107,fuel,roof,Chevron,Martin Luther King Junior Way South,6600,,98118,Seattle,,,,,,,,,,,,,,,,,,,,,,,
-122.469477735685,48.7357916590787,fuel,roof,Chevron,N Samish Way,100,Chevron,98225-8225,Bellingham,,,,,,,,,+1-360-676-0980,,,,,,,,,,,,,,
-123.011040225576,46.7922960002122,fuel,roof,Chevron,Old Highway 99 Southwest,20330,,98531,Centralia,,,,WA,,,,,,,,,,,,,,,,,,,
-122.3038646,47.3694472,fuel,roof,Chevron,Pacific Highway South,25915,,98198,Federal Way,https://www.chevronwithtechron.com/,,,WA,,,,,+1-253-839-7161,,,,,US,,,,,,,,,
-122.1977681,47.3866919,fuel,roof,Chevron,Southeast 240th Street,10715,,98031,Kent,,,,,,,,,,,,,,,,,,,,,,,
-122.135290710822,47.4645562497435,fuel,roof,Chevron,Southeast Renton Maple Valley Road,15355,,98058,Renton,,,,,,,,,,,,,,,,,,,,,,,
-122.215495949131,47.4707947553396,fuel,roof,Chevron,South Grady Way,301,,98057,Renton,,,,,,,,,,,,,,,,,,,,,,,
-122.208705,47.4733166,fuel,roof,Chevron,South Grady Way,800,,98057,Renton,,,,,,,,,,,,,,,,,,,,,,,
-122.64346265,47.81735835,fuel,roof,Chevron,State Highway 3 Northeast,28076,Chevron,98370,Poulsbo,,,yes,,,,,,,,,,1,US,,,,,,,,,
-122.589904243786,47.3226118476456,fuel,roof,Chevron,Stinson Avenue,7102,,98332,Gig Harbor,,,,WA,,,,,,,,,,,,,,,,,,,
-122.629375005098,47.6066068079905,fuel,roof,Chevron,Wheaton Way,4351,,98310-3604,Bremerton,,,,WA,,,,,,,,,,,,,,,,,,,
-121.96391305,47.8574491,fuel,roof,Chevron,,,Chevron,,,,,yes,,,,,,,,,,,,,yes,,,,,,,
-117.43603185,47.65229535,fuel,roof,Chevron,,,Chevron,,,,,yes,,,,,,,,,,,,,,,,,,,,
-122.31298475,47.32215865,fuel,roof,Chevron,,,Chevron,,,,,,,Q319642,en:Chevron Corporation,,,,,,,,,,yes,,,,,,yes,
-117.4107786,47.6849223,fuel,roof,Chevron,,,Chevron,,,,,,,Q319642,en:Chevron Corporation,,,,,,,,,,,,,,,,,
-122.35673958045,47.1540786547736,fuel,roof,Chevron,,,Chevron,,,,,,,Q319642,en:Chevron Corporation,,,,,,,,,,,,,,,,,
-122.388421211537,47.1544966001461,fuel,roof,Chevron,,,Chevron,,,,,,,Q319642,en:Chevron Corporation,,,,,,,,,,,,,,,,,
-122.312865639507,48.4139381840299,fuel,roof,Chevron,,,Chevron,,,,,,,Q319642,en:Chevron Corporation,,,,,,,,,,,,,,,,,
-119.9896804,46.94345425,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,convenience,,,,,,,,,,,,,
-122.150080323751,47.5956053430797,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.172308750016,47.6790670003999,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,1,,,,,,,,,,
-123.440029449421,48.1213788000126,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.915080721204,47.0001898945889,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,Chevron,,,
-122.34131165,48.34149395,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,Chevron,,,
-122.589657398907,46.9335190500216,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,
-123.743372445353,46.972686500002,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,
-122.318091010587,47.290212199864,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,
-122.220793704941,47.440764250204,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,
-122.175368175733,47.4882439004728,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,
-122.206322149998,47.609939750161,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,
-122.317068974629,47.6058678504949,fuel,roof,Chevron,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,
-122.196830508722,47.5950071001729,fuel,roof,Chevron,,,,,,,Chevron,yes,,,,,,,,,,,,,yes,,,,,,,
-122.05409935,47.35766035,fuel,roof,Chevron,,,,,,,Chevron,,,,,24/7,,,,,,,,,,,1,,,,,
-122.043296040323,47.3887408501443,fuel,roof,Chevron,,,,,,,Chevron,,,,,,,,,,,,,,,,1,,,,,
-122.126916387591,47.6752007333536,fuel,roof,Chevron,,,,,,,Chevron,,,,,,,,,,,,,,,,1,,,,,
-120.479312390584,46.6773392354998,fuel,roof,Chevron,,,,,,,Chevron,,,,,,,,,,,,,,,,,,Chevron,,,
-122.142577425,47.6168125986217,fuel,roof,Chevron,,,,,,,Chevron,,,,,,,,,,,,,,,,,,,,,
-122.667251743734,45.6501180001478,fuel,roof,Chevron,,,,,,,,yes,,,,,,,,yes,yes,,,yes,,,,,,,,
-122.599049794356,45.707510449843,fuel,roof,Chevron,,,,,,,,yes,,,,,,,,yes,yes,,,yes,,,,,,,,
-122.2448941,47.90462695,fuel,roof,Chevron,,,,,,,,yes,,,,,,,,yes,yes,,,yes,,,,,,,,
-122.122316175088,47.6171910003523,fuel,roof,Chevron,,,,,,,,,,,,,,,,yes,yes,,,yes,,,,,,,,
-122.1805432,47.8782949,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.23690565,47.8816348,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
-122.0450673,47.5516233,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
-122.0453441,47.5516285,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
-122.5761946,45.6583116,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.691946351673,45.6499176499748,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.63623755,45.65663685,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.55337845,45.693079,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.664822549231,45.693336350037,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.532223925339,45.7807371497052,fuel,roof,Chevron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
