OBJECTID,ZIP,ZIPCODE,COUNTY,SHAPE_Length,SHAPE_Area
66,98065,98065,033,345717.476744142,2404508899.02898
67,98068,98068,037,220477.112172984,1769965764.50555
68,98103,98103,033,71421.2047514864,144008319.985496
69,98104,98104,033,35668.3025172567,21087301.979234
70,98105,98105,033,77620.0842889562,97035433.4890074
71,98106,98106,033,79836.811346379,148201379.447364
72,98107,98107,033,52798.5788154182,65451064.0577239
73,98108,98108,033,84808.3504197969,215057960.103591
74,98109,98109,033,40749.0391085576,66355768.5329098
75,98118,98118,033,92007.7137451199,170718583.21915
76,98119,98119,033,58777.608891475,76072243.9832464
77,98121,98121,033,25270.2578183265,12252192.6074731
78,98122,98122,033,49484.4042809224,64548182.9914189
79,98125,98125,033,67173.2924483471,149853830.022921
80,98126,98126,033,82378.3017608941,96544636.5968364
81,98133,98133,033,95065.0366764271,195422050.232969
82,98134,98134,033,64395.1068494835,112353592.421413
83,98144,98144,033,52028.9999196249,92419412.7736489
84,98146,98146,033,64035.4491796352,126342365.440921
85,98148,98148,033,69372.5725582766,79595149.9595712
86,98154,98154,033,1105.87302717408,76423.0940687187
87,98155,98155,033,72126.5553519696,211816631.4125
88,98158,98158,033,34571.1182148838,58144734.7375217
89,98168,98168,033,105379.396653277,258885192.833559
90,98117,98117,033,55360.2604234742,107311958.669087
91,98177,98177,033,95211.4659877204,159672939.81743
92,98178,98178,033,66906.676245444,135350492.645708
93,98205,98205,061,203110.979215917,632952838.430404
94,98206,98260,061,22790.6525746632,19121910.8317387
95,98208,98208,061,140817.667322747,361491033.420651
96,98198,98198,033,124157.387829309,210844629.319691
97,98310,98310,035,53742.9541832171,151938879.215133
98,98311,98311,035,80184.5271873481,305252168.489433
99,98312,98312,035,309277.313616855,1815260047.27063
100,98199,98199,033,56826.4228002079,114534562.554512
101,98201,98201,061,80933.1701397638,193032741.889298
102,98203,98203,061,94739.6527736198,317634427.279256
103,98204,98204,061,83247.201388126,250191196.920267
104,98296,98296,061,263970.856929472,1048106693.59633
105,98303,98303,053,100332.432255049,224054988.514967
106,98304,98304,053,148164.534561392,322185536.507794
107,98223,98223,061,573249.386545993,9188799825.98937
108,98224,98224,033,187335.038586381,1720744795.92976
109,98241,98241,061,489725.413422827,10702285430.236
110,98335,98335,053,183845.812049622,624049839.880442
111,98337,98337,035,23679.1665154817,26585841.7432063
112,98338,98338,053,224377.436867635,1600401552.60989
113,98340,98340,035,92459.7344217841,200154612.129447
114,98342,98342,035,52169.8806783074,94643089.8920914
115,98345,98345,035,25005.6032833701,12546439.3008032
116,98346,98346,035,208885.722998705,690648860.298335
117,98251,98251,061,170540.045468968,1365169848.82212
118,98252,98252,061,655587.480188676,11458033793.6302
119,98258,98258,061,188174.040448358,746870625.248168
120,98270,98270,061,129683.81704061,401548253.862295
121,98271,98271,061,279768.297722371,1414291572.57511
122,98272,98272,061,281451.347795777,2513539681.11665
123,98275,98275,061,81557.5407359168,184620798.32453
124,98282,98282,061,23945.8877641629,21936739.2208576
125,98288,98288,033,484750.179356801,8748979843.14384
126,98292,98292,061,269935.389227147,2032125794.84116
127,98294,98294,061,621328.894409314,10936936878.5851
128,98188,98188,033,94574.3181507811,218702266.438118
129,98195,98195,033,23454.8984584968,21701390.2792794
130,98290,98290,061,347710.851084998,2852193034.12772
131,98328,98328,053,304188.897859137,2717657384.3451
132,98329,98329,053,157239.465411126,720554057.432637
133,98330,98330,053,45773.0877565781,53285057.8608561
134,98332,98332,053,133917.843416185,584193952.40082
135,98333,98333,053,77598.0480414832,143543103.652667
136,98349,98349,053,191076.146802225,593732271.138582
137,98351,98351,053,108589.437701849,255301607.522134
138,98354,98354,033,13089.5187368018,8506824.23563532
139,98354,98354,053,41500.7196388344,57586163.1258163
140,98359,98359,035,96069.3222304965,382122913.971218
141,98314,98314,035,47284.478291674,17243415.6597572
142,98315,98315,035,89492.0154277343,305686875.263798
143,98321,98321,053,203533.629091003,1143293729.74705
144,98323,98323,053,161148.784613712,826550537.895672
145,98327,98327,053,95271.3965747826,192972500.199119
146,98383,98383,035,143446.440514824,466266249.733041
147,98407,98407,053,71745.4494615228,155761060.323419
148,98408,98408,053,40949.9221631198,95930076.3667017
149,98409,98409,053,74004.1766941216,203658771.726958
150,98416,98416,053,9681.51156902278,4084771.44818589
151,98418,98418,053,27782.0282357502,46885764.2673616
152,98385,98385,053,13894.8292865709,11206789.7409862
153,98387,98387,053,222586.2961979,600727110.230466
154,98388,98388,053,150472.323105062,270365043.376183
155,98390,98390,053,102124.294811065,259404681.487443
156,98391,98391,053,195916.191260592,1080336411.40716
157,98392,98392,035,40161.3028121426,50071279.48802
158,98438,98438,053,74075.408901628,179111627.017124
159,98439,98439,053,31208.6792217753,32367048.6745529
160,98443,98443,053,51842.2283380744,138725731.64402
161,98444,98444,053,84939.7852564987,193899332.767783
162,98445,98445,053,95666.149767577,302059704.970055
163,98446,98446,053,92261.283280255,303052690.029687
164,98447,98447,053,9413.06654000629,3176084.39417719
165,98465,98465,053,35511.711717147,52783838.8376008
166,98394,98394,053,79405.8925043661,133404688.916868
167,98360,98360,053,253905.895985945,1460825811.88446
168,98366,98366,035,183219.065137532,660949214.287353
169,98499,98499,053,82258.8296651971,258668272.833494
170,98367,98367,035,231810.019810024,2171137807.54582
171,98826,98826,,845304.384796979,26180292947.1386
172,98922,98922,037,871202.837913312,17220076325.9915
173,98925,98925,037,513881.754377407,5997914896.75369
174,98926,98926,037,947568.862943431,32490465868.4646
175,98934,98934,037,21908.689987233,12289667.5158191
176,98940,98940,037,465055.060878151,5451150423.06003
177,98941,98941,037,128017.064124842,357024282.165219
178,98943,98943,037,14265.7191287184,10064276.3595473
179,98370,98370,035,369890.291540803,1650709692.98178
180,98950,98950,037,209701.376911354,915724786.048903
181,98371,98371,053,94169.3100544341,362704638.302485
182,98372,98372,053,108969.643427691,373917058.242269
183,98373,98373,053,64284.7285014709,257979688.696741
184,98374,98374,053,108095.145847197,467542202.071161
185,98375,98375,053,65271.0365116492,258436978.613579
186,98380,98380,035,258881.64215219,1277849522.39537
187,98421,98421,053,121126.147370317,180865481.70049
188,98422,98422,033,9173.56036969937,1574725.67560916
189,98422,98422,053,92797.6248837149,185217251.881456
190,98424,98424,053,70301.3619134541,151535018.04289
191,98430,98430,053,16682.29378375,13323857.7283918
192,98433,98433,053,364517.856491134,2980326382.05767
193,98466,98466,053,61175.8860982095,162812597.392985
194,98467,98467,053,56520.873239592,126466429.11239
195,98396,98396,053,735525.486122069,12041118438.0411
196,98397,98397,053,428882.204565738,8546367840.77935
197,98498,98498,053,94191.6296317917,271504227.239675
198,98580,98580,053,234421.90154438,1813778213.27683
199,98946,98946,037,148179.572121339,836663894.360243
200,98402,98402,053,30734.1781115867,26122237.7203576
201,98403,98403,053,23495.0384245485,28909376.3362003
202,98404,98404,053,61572.1543646223,216064460.970884
203,98405,98405,053,50261.1005585878,119311828.317858
204,98406,98406,053,74118.9724177297,108837257.926624
