X,Y,tourism,name,shop,man_made,sport,addr:street,website,addr:housenumber,addr:postcode,addr:city,historic,wikidata,phone,opening_hours,waterway,addr:state,wikipedia,name:en,description,height,alt_name,natural,wheelchair,amenity,ele,email,level,operator,ship:type
-122.1891789,48.1686402975452,attraction,Giant Arborvitae (Big Cedar Stump),,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1425216,47.7346384975452,attraction,Girly Girl Wine & Gifts,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.5212097,47.3061552975452,attraction,Goats,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1404203,47.7319072975452,attraction,Goose Ridge Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9536498,48.1027453975452,attraction,Granite Falls and Fish Ladder,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.4865824,47.3978292975452,attraction,Granite Mountain Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.4865966,47.3978607975452,attraction,Granite Mountain Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.3007704,47.4101890975452,attraction,Great Northern Steam Locomotive,,,,,,,,,locomotive,,,,,,,,,,,,,,,,,,
-124.0632847,46.3470320975452,attraction,Grey Whale Skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1424559,47.7336319975452,attraction,Guardian Cellars,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3401555,47.6081232975452,attraction,Gum Wall,,,,,,,,,,Q3120784,,,,,en:Gum Wall,,,,Market Theater Gum Wall,,,,,,,,
-121.6205652,47.4295273975452,attraction,Gun Show,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.305622,47.6575329975452,attraction,Harry Partch Instrumentarium,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6207449,47.4305197975452,attraction,Headlight Point,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-121.0978914,47.2915913975452,attraction,Hex Mountain Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7371631,46.0438790975452,attraction,Hidden lake trail trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.6840613,48.4923094975452,attraction,Highline Charters,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.1506497,48.5861607975452,attraction,Historic blockhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3521552,47.6701583975452,attraction,Historic Carousel,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.1500328,48.5870762975452,attraction,Historic hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
-117.9083568,48.5511140975452,attraction,Hixson Castles,,,,,,,,,,,,,,,,,,,,,,,,,,,
-124.6508781,47.9417278975452,attraction,Hole in the wall,,,,,,,,,,,,,,,,,,,,cliff,,,,,,,
-122.1396928,47.7311442975452,attraction,Hollywood Hill Winery,wine,winery,,Woodinville-Redmond Road Northeast,,14366,98052,Redmond,,,,,,,,,,,,,,,,,,,
-122.5207984,47.3065786975452,attraction,In Touch with the Wild,,,,,,,,,,,,Mo-Su 13:30-14:00,,,,,,,,,,,,,,,
-122.1556351,47.7369572975452,attraction,Isenhower Cellars,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.683708,48.4930053975452,attraction,Island Express Charters,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1534415,47.7353083975452,attraction,Januik Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4727106,47.2555733975452,attraction,JazzBones,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1417721,47.7339614975452,attraction,J Bookwalter Winery,wine,winery,,,https://www.bookwalterwines.com/,,,,,,+1 425-488-1983,"Su-Fr 12:00-18:00; Sa 13:00-19:00",,,,,,,,,yes,,,,,,
-122.1553465,47.7316502975452,attraction,JM Cellars,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.6842317,48.4923094975452,attraction,Jolly Mon Charters,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2192284,47.2019509975452,attraction,Jumping Juniors,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.9457342,46.1284868975452,attraction,Jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2369828,46.9841731975452,attraction,Kapowsin Event Center,,,,,,,,,,,,,,,,Kapowsin Event Center,,,,,,,,,,,
-120.9932245,47.2232411975452,attraction,KBHR Set,,,,,,,,,,,,,,,,,Northern Exposure Radio Station Set,,,,,,,,,,
-122.2054469,47.3698332975452,attraction,Kent Conference & Event Center,,,,,,,,,,,,,,,,Kent Conference & Event Center,,,,,,,,,0,,
-122.2039437,47.3696930975452,attraction,Kent Event Center,,,,,,,,,,,,,,,,Kent Event Center,,,,,,,,,,,
-122.5212689,47.3057169975452,attraction,Kids' Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6640391,47.4378097975452,attraction,Kiosk Rock,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.141969,47.7314599975452,attraction,Lachini Vineyards,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1157727,47.9969251975452,attraction,Lake Stevens Monster,,,,,,,,,,,,,,,,,Glacial erratic,,,,,,,,,,
-123.0180842,48.5315691975452,attraction,Land Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1427844,47.7337054975452,attraction,Lauren Ashton Cellars,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.6759239,47.5881827975452,attraction,Leavenworth Willkommen,,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.6528142,47.7678380975452,attraction,Leavenworth Ziplines,,,,Chiwawa Loop Rd,https://www.leavenworthziplines.com/,19115,98826,Leavenworth,,,+1 509-763-2713,,,WA,,,,,,,,,,,,,
-122.4059481,47.6798526975452,attraction,Leif Erikson Statue,,,,,http://www.leiferikson.org,,,,memorial,,,,,,,,,,,,,,2,,,,
-121.7043856,45.9055395975452,attraction,Little Huckleberry Trail No 47 Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6314771,47.4350485975452,attraction,Lost Boys,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-121.6826772,47.4374823975452,attraction,Lost Resort,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.1420288,47.7320771975452,attraction,Mark Ryan Winery,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.9429472,46.1273139975452,attraction,Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1463359,47.7436795975452,attraction,Matthews Winery,wine,winery,,140th Place Northeast,https://www.matthewswinery.com,16116,98072,Woodinville,,,(425) 487-9810,,,WA,,,,,,,,,,hello@matthewswinery.com,,,
-123.1489865,48.6159516975452,attraction,Mausoleum,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.9419584,46.1272473975452,attraction,Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.7845755,47.5005009975452,attraction,Merriman Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1204866,47.4892911975452,attraction,Metropolitan Banquet Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1367218,47.6426764975452,attraction,Microsoft Visitor Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4806741,48.7508810975452,attraction,Mindport Exhibits,,,,West Holly Street,http://mindport.org,210,98225,Bellingham,,,+1-360-647-5614,"We-Fr 12:00-18:00; Sa 10:00-17:00; Su 12:00-16:00; Mo-Tu Off",,,,,Mindport offers an inspiring blend of fine art and hand-built interactive exhibits to spark your awareness and stimulate your thinking. Come explore!,,,,,,,,,,
-117.9087614,48.5515955975452,attraction,Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3199008,47.6200010975452,attraction,Mystery Coke Machine,,,,,,,,,,,,,,,,,,,,,,vending_machine,,,,,
-122.6941646,47.5790734975452,attraction,NAD Park F-8 Crusader,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6604304,45.9597460975452,attraction,Natural Bridges,,,,,,,,,,,,,,,,,,,,bare_rock,,,,,,,
-122.267945,47.3888265975452,attraction,Neely-Soames Historic Homestead,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
-122.9528481,46.1410877975452,attraction,Neptune,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1407419,47.7321954975452,attraction,Nine Hats,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8315207,47.5365072975452,attraction,Northern Pacific Railway Steam Rotary Snowplow 10,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2781829,46.9201795975452,attraction,Northwest Trek Wildlife Park,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1536087,47.7355390975452,attraction,Novelty Hill Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.9403767,46.1414131975452,attraction,Nutty Narrows Bridge,,,,,,,,,,Q2005637,,,,,en:Nutty Narrows Bridge,,,,,,,,,,,,
-122.1424445,47.7337195975452,attraction,Obelisco Estates,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.2976844,48.0958558975452,attraction,Olympic Cellars Winery,alcohol,,,Highway 101,http://www.olympiccellars.com,255510,98362,,,,,,,,,,,,,,,,,,,,
-122.4360235,47.9565185975452,attraction,Outdoor Classroom & Fish Hatchery,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.6846273,48.4923774975452,attraction,Outer Island Excursions,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6247508,47.4325665975452,attraction,Overhaul,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.4377775,47.2483673975452,attraction,Pacific Grill Events Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2776687,47.2006918975452,attraction,Paintball Sports Park,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8286273,45.8672245975452,attraction,Panther Creek Falls,,,,,,,,,,,,,waterfall,,,,,41.5,,,,,,,,,
-122.6837106,48.4928978975452,attraction,Paraclete Charters,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1957052,47.4140045975452,attraction,Party Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1424645,47.7330906975452,attraction,Patterson Cellars,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6822534,47.4375297975452,attraction,Peannacle Wall,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.9503238,46.1460632975452,attraction,Pluto,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3406591,47.6085383975452,attraction,Public Market Clock,,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.4554096,48.6222155975452,attraction,Public Swimming Hole,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.0665803,48.0728992975452,attraction,Purple Haze - Lavender Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.148126,47.7336446975452,attraction,Red Hook Brewery,beer,brewery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2350787,46.1438093975452,attraction,Red Rock Pass Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0362372,47.2802373975452,attraction,Remote Control Airfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.342844,47.6099404975452,attraction,Roll Call,,,,,,,,,,,,"Mo-Sa 09:00-22:00; Su 10:00-22:00",,,,,,,,,,,,,,,
-122.1416027,47.7330963975452,attraction,Ross Andrew Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.14252,47.7345748975452,attraction,Roza Hills Estate Wines,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.6839809,48.4923094975452,attraction,R&R Charters,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.9246997,48.0226709975452,attraction,Salmon Cascade,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3409804,47.6095107975452,attraction,Sanitary Market Building,,,,,,,,,,,,,,,,,,,,,,,,,,,
-123.4693869,46.9589184975452,attraction,Satsop Nuclear Power Plant (Not in use),,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.9487864,46.1298939975452,attraction,Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.338531,47.5570431975452,attraction,Seattle Escape Games,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3425647,47.6061778975452,attraction,Seattle Great Wheel,,,,Alaskan Way,http://seattlegreatwheel.com/,1301,,Seattle,,Q7442108,(206) 623-8607,"Mo-Th 11:00-22:00; Fr 11:00-24:00; Sa 10:00-24:00; Su 10:00-22:00",,WA,en:Seattle Great Wheel,,,53,,,,,,,,,
-122.3404292,47.6084386975452,attraction,Seattle Gum Wall,,,,Post Alley,,,,,,,,,,,,,,,,,,,,,,,
-121.9529054,47.6762982975452,attraction,Segis Pietertje Prospect,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6791394,47.4409596975452,attraction,Semi Wall,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.6841203,48.4923094975452,attraction,Ship Harbor Yacht Charters & Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1558453,47.7371942975452,attraction,Silver Lake Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1430476,47.7346690975452,attraction,Silver Lake Winery,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3401183,48.4081451975452,attraction,Skagit County Fairgrounds,,,,West Taylor Street,,479,,Mount Vernon,,,,,,,,,,,,,,,,,,,
-122.3308714,47.6045392975452,attraction,Sky View Observatory,,,,5th Avenue,https://www.skyviewobservatory.com/,701,98104,Seattle,,,+1-206-386-5564,10:00-20:00,,WA,,,,,Columbia Center Sky View Observatory,,,,,,73,,
-121.6583123,46.0850766975452,attraction,Sleeping beauty trail no. 37 Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6823821,47.4368221975452,attraction,Slumbersome Ridge,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.3318687,47.6020211975452,attraction,Smith Tower Observatory,,,,2nd Avenue,https://www.smithtower.com/observatory.php,506,98104,Seattle,,,+1 206-624-0414,,,,,,,,,,yes,,,,35,,
-121.8381033,47.5417385975452,attraction,Snoqualmie Falls,,,,,,,,,,Q7548048,,,waterfall,,,,,81.7,,,,,,,,,
-121.5525742,47.0401242975452,attraction,Snoquera Falls,,,,,,,,,,,,,waterfall,,,,,,,,,,,,,,
-121.1451833,48.7176165975452,attraction,Sourdough Lookout Trailhead,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1420321,47.7319982975452,attraction,Sparkman Cellars,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.3341239,47.6027458975452,attraction,Spooked in Seattle,,,,Cherry Street,http://spookedinseattle.com,102,98104,Seattle,,,,,,,,,,,Beneath the Streets,,,,,,,,
-122.683708,48.4927222975452,attraction,Sport Fishing Catchmore Charters,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6211083,47.4310333975452,attraction,Squishy Bell,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-121.0888611,47.7453148975452,attraction,Stevens Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,
-124.1037627,46.8713410975452,attraction,Street of Flags Veterens Memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6637343,47.4370112975452,attraction,Substation,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.9416357,46.1273342975452,attraction,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.5493007,47.8042459975452,attraction,Sunset Falls,,,,,,,,,,Q37999,,,waterfall,,en:Sunset Falls,,,31.7,,,,,,,,,
-122.9598349,48.0494092975452,attraction,Sunshine Herb & Lavender Farm,farm,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6222737,47.4303657975452,attraction,Sun Vista Slab,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.2425564,47.4470028975452,attraction,SyKart Indoor Racing Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1658816,47.7491605975452,attraction,Tefft Winery,wine,winery,,,,,,,,,,,,,,,,,,,,,,,,,
-117.0789363,47.2269250975452,attraction,Tekoa Train Trestle,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6218909,47.4301319975452,attraction,The Cirque,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.534157,47.2212236975452,attraction,The Eagles Nest,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.6267342,47.4311093975452,attraction,The Grit Scone,,,climbing,,,,,,,,,,,,,,,,,,,,,,,,
-122.5402437,47.3170828975452,attraction,The Mountaineer Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4974257,48.3900025975452,attraction,The Old Fir Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4733302,47.2556243975452,attraction,The Pine Room Event Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
-119.1665964,46.1690294975452,attraction,The Pink House,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.4721131,47.2555492975452,attraction,The Triple Knock,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2376391,47.2057685975452,attraction,The Winsome Grace Wedding & Event Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.309832,47.6562224975452,attraction,Three Brick Monoliths,,tower,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1427241,47.7336638975452,attraction,Tori Mor Winery,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
-120.180504,48.4729035975452,attraction,Town Trailhead,,,,,https://www.methowtrails.org/,,98862,,,,,,,,,,,,,,,,,info@methowtrails.org,,,
-122.2130165,46.0990834975452,attraction,Trail Of Two Forests Interpretive Site,,,,,,,,,,,,,,,,,,,,,,,,,,,
